LAB	EXP	original_es	original_ci_lower	original_ci_upper	replication_es	ci_lower	ci_upper	log_es_ratio_individual	es_ratio_individual	pvalue	t_score_individual	t_pvalue	original_cv	replication_cv	subjective_success	ma_only
LAB16	EPM1	0.6320350737076432	0.280957391508584	0.9831127559067024	0.053249989306048164	-0.12164276023242138	0.2281427388445177	0.578785084401595	1.7838698623817104	0.5343353172159986	0.6312781047447262	NA	0.47644060138178684	0.2360570457562402	FALSE	FALSE
LAB80	EPM1	0.6320350737076432	0.280957391508584	0.9831127559067024	-0.3691035213310958	-0.7139519941769135	-0.024255048485278208	1.001138595038739	2.721378613320207	0.036687614429469724	-2.1777509892721696	NA	0.47644060138178684	0.47759268310900344	FALSE	FALSE
LAB82	EPM1	0.6320350737076432	0.280957391508584	0.9831127559067024	-0.38505560110822085	-0.7999322562765763	0.029821054060134633	1.0170906748158641	2.765138363623748	0.06698532980045836	-1.9464371235448281	NA	0.47644060138178684	0.5324158675642985	FALSE	FALSE
LAB62	EPM11	0.6163417693362002	0.24025673610993825	0.9924268025624622	-0.6513067347177613	-1.584668642366174	0.2820551729306513	1.2676485040539616	3.5524890692046713	0.16338691837819333	-1.4343714943547896	NA	0.4565410471829434	1.3506785540568702	FALSE	FALSE
LAB91	EPM13	0.20654536514638128	0.06498694847299208	0.3481037818197705	-0.12533154543947134	-0.5510350529179545	0.30037196203901184	0.3318769105858526	1.3935813028488713	0.5320406095697099	-0.6441609940209979	NA	0.13857800045963728	0.42224470856299745	TRUE	FALSE
LAB24	EPM19	0.6236078892169739	0.19737167449097448	1.0498441039429731	-0.011428695823622631	-0.30592968360145156	0.28307229195420636	0.6350365850405965	1.8870911795032617	0.9366004197244103	-0.08045244908791083	NA	0.3984800295070217	0.3627558913852315	FALSE	FALSE
LAB7	EPM19	0.6236078892169739	0.19737167449097448	1.0498441039429731	0.22884157242884745	-0.6581024362272456	1.1157855810849406	0.3947663167881264	1.4840373557818782	0.5989667521319499	0.5331038004274399	NA	0.3984800295070217	1.0912293030664824	FALSE	FALSE
LAB24	EPM2	0.611462408499593	0.18985233966522586	1.0330724773339601	-0.09410206185108695	-0.3854094893964278	0.1972053656942539	0.7055644703506799	2.0249894088568565	0.5107471803332266	-0.6679796879215132	NA	0.4320819220998658	0.3930404077822707	FALSE	FALSE
LAB7	EPM2	0.611462408499593	0.18985233966522586	1.0330724773339601	0.1714208176885316	-0.7028473555653753	1.0456889909424385	0.4400415908110614	1.5527717982068465	0.6912827856091931	0.40113235830296856	NA	0.4320819220998658	1.2167145902174794	FALSE	FALSE
LAB86	EPM2	0.611462408499593	0.18985233966522586	1.0330724773339601	0.34473382531354724	-0.35033578839852675	1.0398034390256212	0.26672858318604575	1.3056860130955614	0.3170886145679774	1.0204854409722874	NA	0.4320819220998658	0.9858282397811484	FALSE	FALSE
LAB24	EPM21	-0.8650152555887276	-1.4058468796771373	-0.32418363150031804	0.13658151746557276	-0.10851666046129049	0.381679695392436	1.0015967730543003	2.7226257748620313	0.2533580947752746	-1.1879474250293844	NA	0.4662288203396571	0.2634665754012353	FALSE	FALSE
LAB80	EPM21	-0.8650152555887276	-1.4058468796771373	-0.32418363150031804	-0.048291942787843066	-0.1619039038172078	0.06532001824152164	0.8167233128008845	2.2630722952910545	0.3762544196628489	0.9150588557295936	NA	0.4662288203396571	0.11628815595972394	FALSE	FALSE
LAB25	EPM25	-0.7256353044384797	-1.6680033811435986	0.21673277226663923	-0.056264838529034	-0.5779626926408806	0.46543301558281264	0.6693704659094457	1.953007448785312	0.8284328921326881	0.21817855033156627	NA	0.5966305547938346	0.8305896225503879	FALSE	FALSE
LAB62	EPM25	-0.7256353044384797	-1.6680033811435986	0.21673277226663923	-0.8373518325030956	-2.199699234021666	0.5249955690154747	-0.11171652806461596	0.8942977298808057	0.215464687349627	1.2761911160998936	NA	0.5966305547938346	1.1780926647926133	TRUE	FALSE
LAB83	EPM25	-0.7256353044384797	-1.6680033811435986	0.21673277226663923	-0.42472239074860374	-0.89820771744708106	0.04876293594987363	0.30091291368987594	1.35109167482591	0.07731445268259975	1.814500863035367	NA	0.5966305547938346	0.7122708212310797	TRUE	FALSE
LAB16	EPM27	0.48644789305121233	0.22717234947709875	0.7457234366253259	0.014446816628553079	-0.23359268550794945	0.2624863187650556	0.47200107642265926	1.603199109445494	0.9022638441569227	0.12507766495789552	NA	0.24273563091361422	0.2307949064528275	FALSE	FALSE
LAB87	EPM27	0.48644789305121233	0.22717234947709875	0.7457234366253259	0.037787833989510515	-0.14026141503546075	0.2158370830144818	0.4486600590617018	1.5662121470667345	0.6634487556795154	0.4413862128247536	NA	0.24273563091361422	0.2051900018224409	FALSE	FALSE
LAB7	EPM28	-0.5210307763554904	-1.1113864955363735	0.06932494282539259	-0.11880579207384115	-0.5767430150707483	0.3391314309230661	0.4022249842816493	1.4951476795648888	0.6055095875703325	0.5193284070356237	NA	0.5350779458888395	0.8828465960904416	FALSE	FALSE
LAB82	EPM28	-0.5210307763554904	-1.1113864955363735	0.06932494282539259	-0.1002338831798149	-0.27359245506614194	0.07312468870651213	0.42079689317567553	1.5231748797766085	0.2507834267017207	1.1624599479309967	NA	0.5350779458888395	0.32540608863463333	FALSE	FALSE
LAB85	EPM28	-0.5210307763554904	-1.1113864955363735	0.06932494282539259	0.030257916040504564	-0.35128223390362145	0.41179806598463053	0.551288692395995	1.7354880877012857	0.874403538117026	-0.15877334401057772	NA	0.5350779458888395	0.7370642276856176	TRUE	FALSE
LAB10	EPM29	-0.957481889014735	-1.931865192759788	0.016901414730318143	0.14702193676650513	-0.12465556795629432	0.4186994414893046	1.10450382578124	3.0177267790527456	0.28386466663600857	-1.0804747036166495	NA	0.9461229366287943	0.555764915405097	FALSE	FALSE
LAB88	EPM29	-0.957481889014735	-1.931865192759788	0.016901414730318143	-0.051205399899943334	-0.6634971680435467	0.5610863682436601	0.9062764891147916	2.4750893320201164	0.8678350930359306	0.1670811469912931	NA	0.9461229366287943	1.2440793446463203	FALSE	FALSE
LAB10	EPM31	1.543676969566593	0.2832784734065166	2.8040754657266698	0.1784954445083562	0.06436117806735314	0.29262971094935925	1.3651815250582369	3.9164339183658523	0.004587028401588111	3.3389434468367427	NA	0.6229161325998892	0.1267420183510831	TRUE	FALSE
LAB86	EPM31	1.543676969566593	0.2832784734065166	2.8040754657266698	-0.032150981759111866	-1.5729272518473516	1.5086252883291278	1.575827951325705	4.834742893239081	0.9640740040691909	-0.046112342497244364	NA	0.6229161325998892	1.2750933838278726	FALSE	FALSE
LAB10	EPM37	1.4828371843750727	0.38459957140985646	2.581074797340289	0.03774032798284711	-0.3044297250363982	0.3799103810020924	1.4450968563922255	4.2422630132127335	0.8223411462779461	0.22684079014614136	NA	0.798972569443061	0.4412847586467318	FALSE	FALSE
LAB82	EPM37	1.4828371843750727	0.38459957140985646	2.581074797340289	0.1823215567939546	-0.41519267280096384	0.779835786388873	1.300515627581118	3.671189146049481	0.5357015879458258	0.6278296786479826	NA	0.798972569443061	0.7526858379007636	FALSE	FALSE
LAB7	EPM5	-1.1147976130891268	-1.4219078897915312	-0.8076873363867225	-0.3329145740944749	-1.221751648309434	0.555922500120484	0.781883038994652	2.185583932839913	0.44470259812905943	0.7789538984157579	NA	0.5664416618108756	0.9737499825308066	FALSE	FALSE
LAB24	EPM9	0.38822330167365837	0.12803483065420096	0.6484117726931158	0.12479548478321267	-0.06516673691040928	0.31475770647683465	0.2634278168904457	1.3013833536540087	0.19233687082589063	1.3240317259811074	NA	0.31623201077030316	0.31840508642453264	FALSE	FALSE
LAB7	EPM9	0.38822330167365837	0.12803483065420096	0.6484117726931158	0.507108611400541	0.1096628083330124	0.9045544144680695	-0.1188853097268826	0.8879096295203677	0.013709080293174296	2.5791858304764843	NA	0.31623201077030316	0.6595888656475406	TRUE	FALSE
LAB54	MTT13	-0.2043340640772224	-0.29538806196775036	-0.11328006618669442	-0.04525107808700332	-0.1956926406530169	0.10519048447901025	0.15908298599021908	1.172435238342961	0.40906268788610195	0.957242957410106	NA	0.062372624695126694	0.06534080042887976	TRUE	FALSE
LAB72	MTT13	-0.2043340640772224	-0.29538806196775036	-0.11328006618669442	0.03824432264265177	-0.1330624539223502	0.20955109920765372	0.24257838671987417	1.2745311515642044	0.5286569947263088	-0.7104827125505012	NA	0.062372624695126694	0.07758070264084307	FALSE	FALSE
LAB1	MTT18	0.18148787604537725	0.02964287175361338	0.33333288033714115	-0.6705406561317916	-2.6681456287087304	1.327064316445147	0.8520285321771688	2.344397717861416	0.14661359804434548	NA	NA	0.06616292307220814	0.10639544593749203	FALSE	TRUE
LAB18	MTT18	0.18148787604537725	0.02964287175361338	0.33333288033714115	-0.484605611329441	-0.7031537350559546	-0.26605748760292747	0.6660934873748183	1.9466179601241098	0.0035322852879151757	-6.15645128672309	NA	0.06616292307220814	0.09487924026368642	FALSE	FALSE
LAB33	MTT18	0.18148787604537725	0.02964287175361338	0.33333288033714115	-0.831353297947927	-0.9118698081124895	-0.7508367877833645	1.0128411739933043	2.7534128373350506	1.4192559249148135e-6	-26.541906527412642	NA	0.06616292307220814	0.032915542207857945	FALSE	FALSE
LAB31	MTT28	-0.556287997842748	-0.766946186607351	-0.34562980907814483	-0.20660882108547302	-6.226469983323174	5.8132523411522286	0.34967917675727495	1.4186123517634375	0.7382040415053228	NA	NA	0.082052543755814	0.4250038347199192	TRUE	TRUE
