EXP	original_es	original_ci_lower	original_ci_upper	n_completed_reps	replication_es	rema_es	rema_pi_lower	rema_pi_upper	rema_pvalue	rema_I2	rema_tau2	rema_Qp	fema_es	fema_ci_lower	fema_ci_upper	fema_pvalue	t_score_FEMA	t_score_mean	t_score	corrected_sign_original_es	corrected_sign_replication_es	log_es_ratio	es_ratio	original_cv	replication_cv	mean_abs_diff_reps	mean_abs_diff_reps_orig	significant_reps	n_voting_reps	subjective_success_reps
EPM1	0.6320350737076432	0.280957391508584	0.9831127559067024	3	-0.19644658694266556	-0.19644658694266556	-0.7593834074963107	0.36649023361097954	0.22167756335241628	71.09220772404261	0.05271254348540543	0.0204547819759048	-0.07567928095504729	-0.2180797523584202	0.0667211904483256	0.2895696836651385	-1.0726843524385459	-1.1643033360240904	-1.0726843524385459	0.6320350737076432	-0.19644658694266556	0.8284816606503088	2.289839346298278	0.47644060138178684	0.4153551988098474	0.292203726942846	0.8656714514187327	0	3	0
EPM11	0.6163417693362002	0.24025673610993825	0.9924268025624622	1	-0.6513067347177613	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.4343714943547896	-1.4343714943547896	0.6163417693362002	-0.6513067347177613	1.2676485040539616	3.5524890692046713	0.4565410471829434	1.3506785540568702	NA	NA	0	1	0
EPM13	0.20654536514638128	0.06498694847299208	0.3481037818197705	1	-0.12533154543947134	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.6441609940209979	-0.6441609940209979	0.20654536514638128	-0.12533154543947134	0.3318769105858526	1.3935813028488713	0.13857800045963728	0.42224470856299745	NA	NA	0	1	1
EPM19	0.6236078892169739	0.19737167449097448	1.0498441039429731	2	0.012287000342426626	0.012287000342426626	-0.26445503478358245	0.2890290354684357	0.92808103706983	0	0	0.595150946006762	0.012287000342426626	-0.26445503478358245	0.2890290354684357	0.92808103706983	0.09110764133831259	0.22632567566976453	0.09110764133831259	0.6236078892169739	0.012287000342426626	0.6113208888745473	1.8428640103917704	0.3984800295070217	0.726992597225857	0.24027026825247008	0.5149014509143615	0	2	0
EPM2	0.611462408499593	0.18985233966522586	1.0330724773339601	3	0.008408120652270161	0.008408120652270161	-0.33891874477298983	0.3557349860775301	0.9536748013998053	9.347788783850024	0.008706226056502227	0.4406453975452355	-0.012101873204760374	-0.26420257445844525	0.23999882804892453	0.9230264101352235	-0.09728791917908285	0.25121270378458094	-0.09728791917908285	0.611462408499593	0.008408120652270161	0.6030542878473228	1.8276925833346753	0.4320819220998658	0.8651944125936328	0.29255725810975614	0.4707782147825957	0	3	0
EPM21	-0.8650152555887276	-1.4058468796771373	-0.32418363150031804	2	0.01592669343621977	0.01592669343621977	-0.2556634797652102	0.28751686663764975	0.8583364151533169	53.17515320276254	0.009087154123847174	0.14391242479424374	-0.01611829056256644	-0.11651266902687066	0.08427608790173777	0.7405150415313639	0.3360557810750382	-0.13644428464989544	0.3360557810750382	0.8650152555887276	-0.01592669343621977	0.8809419490249474	2.4131717209378563	0.4662288203396571	0.18987736568047964	0.18487346025341583	0.9091600429275923	0	2	0
EPM25	-0.7256353044384797	-1.6680033811435986	0.21673277226663923	3	-0.296322274905487	-0.296322274905487	-0.6387144712993917	0.04606992148841765	0.08312291180327688	1.0756033019376532	0.001100727415140576	0.3970573454145891	-0.29605798116720927	-0.6291482556495831	0.0370322933151645	0.08079478192720066	1.7667285877906225	1.102956843155609	1.7667285877906225	0.7256353044384797	0.296322274905487	0.42931302953299266	1.536201835684129	0.5966305547938346	0.9069843695246936	0.5207246626493744	0.3606666358879792	0	3	2
EPM27	0.48644789305121233	0.22717234947709875	0.7457234366253259	2	0.029511454740670358	0.029511454740670358	-0.11018336932294462	0.16920627880428532	0.670530098472355	0	0	0.8710318456735334	0.029511454740670358	-0.11018336932294462	0.16920627880428532	0.670530098472355	0.42907965422041155	0.2832319388913246	0.42907965422041155	0.48644789305121233	0.029511454740670358	0.456936438310542	1.5792285026275947	0.24273563091361422	0.21799245413763418	0.023341017360957436	0.4603305677421805	0	2	0
EPM28	-0.5210307763554904	-1.1113864955363735	0.06932494282539259	3	-0.08235768750087095	-0.08235768750087095	-0.23013843195231354	0.06542305695057161	0.27087131350078625	0	0	0.8115717204129314	-0.08235768750087095	-0.23013843195231354	0.06542305695057161	0.27087131350078625	1.108448946910252	0.5076716703186809	1.108448946910252	0.5210307763554904	0.08235768750087095	0.4386730888546195	1.550648280313698	0.5350779458888395	0.6484389708035642	0.09937580540956381	0.45810352328443993	0	3	1
EPM29	-0.957481889014735	-1.931865192759788	0.016901414730318143	2	0.11437971334322967	0.11437971334322967	-0.13265883162771225	0.36141825831417157	0.3601567647270769	0	0	0.5544140756430902	0.11437971334322967	-0.13265883162771225	0.36141825831417157	0.3601567647270769	-0.9197135734772357	-0.4566967783126782	-0.9197135734772357	0.957481889014735	-0.11437971334322967	1.0718616023579646	2.9208118321808945	0.9461229366287943	0.8999221300257086	0.19822733666644846	1.0053901574480157	0	2	0
EPM31	1.543676969566593	0.2832784734065166	2.8040754657266698	2	0.17726435248390088	0.17726435248390088	0.06358139545849295	0.2909473095093088	0.004648966125969001	0	0	0.7632359356263407	0.17726435248390088	0.06358139545849295	0.2909473095093088	0.004648966125969001	3.325646954259398	1.6464155521697492	3.325646954259398	1.543676969566593	0.17726435248390088	1.3664126170826922	3.9212583779946204	0.6229161325998892	0.7009177010894778	0.21064642626746805	1.470504738191971	1	2	1
EPM37	1.4828371843750727	0.38459957140985646	2.581074797340289	2	0.07346890337205886	0.07346890337205886	-0.218090392511398	0.3650281992555157	0.6135368208910259	0	0	0.665744637429988	0.07346890337205886	-0.218090392511398	0.3650281992555157	0.6135368208910259	0.5089269911842086	0.42733523439706195	0.5089269911842086	1.4828371843750727	0.07346890337205886	1.409368281003014	4.093368728343736	0.798972569443061	0.5969852982737477	0.14458122881110747	1.3728062419866718	0	2	0
EPM5	-1.1147976130891268	-1.4219078897915312	-0.8076873363867225	1	-0.3329145740944749	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.7789538984157579	0.7789538984157579	1.1147976130891268	0.3329145740944749	0.781883038994652	2.185583932839913	0.5664416618108756	0.9737499825308066	NA	NA	0	1	0
EPM9	0.38822330167365837	0.12803483065420096	0.6484117726931158	2	0.27701287143471304	0.27701287143471304	-0.30335028755679433	0.8573760304262203	0.143824662826706	67.47364243333715	0.04931086024142521	0.07953248333494566	0.19623628656721862	0.026381924590901135	0.3660906485435361	0.024254139073411635	2.3088589934016226	1.9516087782287959	2.3088589934016226	0.38822330167365837	0.27701287143471304	0.11121043023894533	1.1176300652730573	0.31623201077030316	0.48899697603603665	0.3823131266173283	0.19115656330866415	1	2	1
MTT13	-0.2043340640772224	-0.29538806196775036	-0.11328006618669442	2	-0.007472773817698808	-0.007472773817698808	-0.13386899158727242	0.11892344395187479	0.8633141409836929	26.38303113155285	9.196441256768876e-4	0.2438180104641036	-0.008895335794527691	-0.09616144424029094	0.07837077265123557	0.8107416090439555	0.2504342117566668	0.1233801224298024	0.2504342117566668	0.2043340640772224	0.007472773817698808	0.1968612902595236	1.2175751394604502	0.062372624695126694	0.07146075153486142	0.08349540072965508	0.20083068635504664	0	2	1
MTT18	0.18148787604537725	0.02964287175361338	0.33333288033714115	3	-0.6708038428069857	-0.6708038428069857	-1.1723158468904864	-0.16929183872348486	6.846005738136692e-4	84.53254855948661	0.03143931379130501	1.7906807866334542e-4	-0.7801967244656695	-0.8480523451165288	-0.7123411038148101	2.74394017326156e-8	-27.26372062762878	-16.349178907067866	-27.26372062762878	0.18148787604537725	-0.6708038428069857	0.8522917188523629	2.3450148133041995	0.06616292307220814	0.0780634094696788	0.23116512441232398	0.8436543978484304	0	2	0
MTT28	-0.556287997842748	-0.766946186607351	-0.34562980907814483	2	-0.07495108620326503	-0.07495108620326503	-0.1798057584925961	0.029903586086066067	0.10782385425826538	0	0	0.7805720058837757	-0.07495108620326503	-0.1798057584925961	0.029903586086066067	0.10782385425826538	2.2624308119829966	2.2374137185320064	2.2624308119829966	0.556287997842748	0.07495108620326503	0.48133691163948295	1.618236395746612	0.082052543755814	0.23511279230062077	0.13230463773162066	0.4158314956230853	0	1	0
MTT30	-0.5903976324428394	-1.1131666387380843	-0.06762862614759435	2	-0.823993021289325	-0.823993021289325	-2.1120792967438033	0.46409325416515346	0.037911598918695846	93.34641384251894	0.18262670482769597	1.0584429270302174e-4	-0.8896212566073239	-1.0808362719441829	-0.6984062412704649	2.397423198216579e-5	11.316661269331133	7.640627065681025	11.316661269331133	0.5903976324428394	0.823993021289325	-0.23359538884648556	0.7916820744984929	0.20721561421449264	0.10969979775118655	0.6255302555028163	0.31276512775140813	2	2	2
MTT33	0.5386300607661101	0.48538261696850127	0.5918775045637189	2	-0.7053777072087475	-0.7053777072087475	-2.9772815370465695	1.5665261226290745	0.25467574952457495	81.92827630514783	0.4987407167446016	0.018655681881785048	-0.6626066084229694	-1.2545453184640896	-0.07066789838184917	0.034444072557899684	-2.83794245258042	-2.083262884724112	-2.83794245258042	0.5386300607661101	-0.7053777072087475	1.2440077679748576	3.4694905512369045	0.04054862780597547	0.3096813126761802	1.1034064072071208	1.253442208857062	0	2	0
MTT37	0.3988600536135331	0.21006388756301175	0.5876562196640545	3	0.10829013989819661	0.10829013989819661	-0.47987960013051323	0.6964598799269064	0.4052251562356212	95.74189274101454	0.0386294152259777	0.001838193514762261	0.012704273973044381	-0.04212339106176873	0.06753193900785749	0.5787729614793965	0.5926805183473931	1.1387616622659111	0.5926805183473931	0.3988600536135331	0.10829013989819661	0.29056991371533647	1.337189353458609	0.07461183558608699	0.081060359192683007	0.2712664092228709	0.2697258621546665	0	3	1
MTT4	-0.3011050927839216	-0.3809904853092288	-0.22121970025861443	2	-0.6846000961081774	-0.6846000961081774	-6.848367735424757	5.479167543208403	0.519185712217579	79.48110989803462	1.2956179484047463	0.027271218006913848	0.028480118913135948	-0.16656483805365072	0.22352507587992262	0.5956773948479542	-0.6245373494140666	0.7112261442886445	-0.6245373494140666	0.3011050927839216	0.6846000961081774	-0.3834950033242558	0.6814754831522671	0.03034569835044617	0.1738252674479485	1.8055998672860902	0.9027999336430451	0	2	0
MTT42	-1.1290047633136922	-1.437401040004859	-0.8206084866225254	2	-1.1573219779743324	-1.1573219779743324	-1.6536660753356074	-0.6609778806130575	5.081503939931641e-4	79.59108386179048	0.01937412752123756	0.026859506838526524	-1.1687089202771956	-1.3068319420157253	-1.030585898538666	2.1767787717190094e-5	23.649143493855114	16.58542479852864	23.649143493855114	1.1290047633136922	1.1573219779743324	-0.0283172146606403	0.972079959873647	0.10495012778657707	0.0416189777988469	0.22064488565403062	0.11032244282701531	2	2	2
MTT45	0.6348782724359695	0.3580837792289521	0.9116727656429868	2	-0.00925306525040624	-0.00925306525040624	-0.17793817934466696	0.1594320488438545	0.8563407111406793	40.859103723400175	0.0019355540176030916	0.19348535990458135	-0.011744467089048796	-0.10736318343919012	0.08387424926109253	0.7646336332945572	-0.3162873201116356	-0.16549406292364965	-0.3162873201116356	0.6348782724359695	-0.00925306525040624	0.6441313376863758	1.9043320890654964	0.1412732662599351	0.0691767314095889	0.09733594014934721	0.6405251954978454	0	2	0
MTT56	-0.46234075650016626	-0.8560094892936159	-0.06867202370671666	2	-0.04293516422268299	-0.04293516422268299	-0.2200591977655291	0.13418886932016313	0.5327144102621635	11.60744753371044	0.0013898848481163645	0.28749458813411455	-0.03753618865364638	-0.1740873834715428	0.09901500616425002	0.5384147705872937	0.6456652413992615	0.6713632623599448	0.6456652413992615	0.46234075650016626	0.04293516422268299	0.41940559227748325	1.5210571587334754	0.15238208281170412	0.1507092365948264	0.1547519190791663	0.3782915377134363	0	2	0
MTT60	-0.32609031574810077	-0.4057771333660043	-0.2464034981301972	1	0.08493538790199812	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.8274171705606954	-0.8274171705606954	0.32609031574810077	-0.08493538790199812	0.4110257036500989	1.508364126523521	0.03368961540389066	0.13105746147723915	NA	NA	0	1	1
